Fecha,IdProducto,Pais,Canal,SegmentoCliente,Cantidad,PrecioUnitario,DescuentoPorc
2025-10-16,4,Japon,Online,Consumer,6,884.91,0.05
2025-04-27,2,Espana,Online,Consumer,17,1224.21,0.15
2025-07-18,4,Chile,Tienda,Consumer,10,667.5,0.05
2025-05-10,4,Japon,Online,SMB,13,545.94,0.15
2025-06-06,4,Chile,Online,SMB,1,708.74,0.15
2025-05-31,2,Estados Unidos,Online,SMB,13,1123.29,0.0
2025-03-16,1,India,Tienda,Consumer,17,911.29,0.03
2025-06-18,3,Alemania,Online,Consumer,4,247.03,0.2
2025-07-24,1,Japon,Online,Consumer,15,843.91,0.05
2025-05-02,2,Estados Unidos,Online,Enterprise,3,1051.9,0.0
2025-07-31,2,Peru,Online,Enterprise,3,1072.96,0.1
2025-04-26,3,Espana,Online,SMB,20,220.98,0.1
2025-09-25,4,Peru,Online,Consumer,12,521.63,0.1
2025-03-07,4,Mexico,Tienda,SMB,5,547.33,0.05
2025-04-03,1,Espana,Online,Enterprise,11,1066.65,0.1
2025-04-29,1,India,Tienda,Consumer,2,819.13,0.03
2025-07-06,1,Espana,Online,SMB,18,875.5,0.05
2025-06-14,2,Japon,Online,SMB,2,1374.36,0.2
2025-04-10,2,Estados Unidos,Online,Enterprise,10,1106.0,0.15
2025-04-18,3,Peru,Tienda,SMB,7,227.24,0.1
2025-12-23,3,Espana,Tienda,Consumer,7,367.05,0.1
2025-09-15,1,Espana,Online,SMB,15,1020.08,0.05
2025-04-22,1,Chile,Tienda,Consumer,14,1095.0,0.0
2025-07-26,4,Japon,Tienda,SMB,8,830.62,0.05
2025-09-03,4,Estados Unidos,Online,SMB,2,766.77,0.1
2025-06-20,4,Mexico,Online,Consumer,3,651.56,0.0
2025-06-10,1,Alemania,Tienda,Consumer,19,923.08,0.0
2025-03-01,2,Japon,Online,Consumer,14,1333.73,0.1
2025-08-03,1,Japon,Online,Consumer,9,968.9,0.05
